date,bank,fx_position,days_exceeded
1999-10-31,BHD,0.0,0
1999-11-30,BHD,0.0,0
1999-12-31,BHD,0.0,0
2000-01-31,BHD,0.0,0
2000-02-29,BHD,0.0,0
2000-03-31,BHD,0.3271,0
2000-04-30,BHD,0.0,0
2000-05-31,BHD,0.0,0
2000-06-30,BHD,0.1432,0
2000-07-31,BHD,0.192,0
2000-08-31,BHD,0.1669,0
2000-09-30,BHD,0.7113,18
2000-10-31,BHD,0.4109,27
2000-11-30,BHD,0.1363,6
2000-12-31,BHD,0.0231,3
2001-01-31,BHD,0.2959,1
2001-02-28,BHD,0.3412,5
2001-03-31,BHD,0.0642,0
2001-04-30,BHD,0.1701,4
2001-05-31,BHD,0.609,4
2001-06-30,BHD,0.1057,5
2001-07-31,BHD,0.2461,0
2001-08-31,BHD,0.2113,7
2001-09-30,BHD,0.3961,0
2001-10-31,BHD,0.4482,20
2001-11-30,BHD,0.0,27
2001-12-31,BHD,0.3157,31
2002-01-31,BHD,0.1586,31
2002-02-28,BHD,0.0,0
2002-03-31,BHD,0.0,0
2002-04-30,BHD,0.0,0
2002-05-31,BHD,0.0,0
2002-06-30,BHD,0.0,0
2002-07-31,BHD,0.0,0
2002-08-31,BHD,0.0,0
2002-09-30,BHD,0.0,0
2002-10-31,BHD,0.0,0
2002-11-30,BHD,0.0,0
2002-12-31,BHD,0.0,0
2003-01-31,BHD,0.0,0
2003-02-28,BHD,0.0,0
2003-03-31,BHD,0.0,0
2003-04-30,BHD,0.0,0
2003-05-31,BHD,0.0,0
2003-06-30,BHD,0.0,0
2003-07-31,BHD,0.0,0
2003-08-31,BHD,0.0,0
2003-09-30,BHD,0.0,0
2003-10-31,BHD,0.0,0
2003-11-30,BHD,0.0,0
2003-12-31,BHD,0.0,0
2004-01-31,BHD,0.0,0
2004-02-29,BHD,0.0,0
2004-03-31,BHD,0.0,0
2004-04-30,BHD,0.0,0
2004-05-31,BHD,0.0,0
2004-06-30,BHD,0.0,0
2004-07-31,BHD,0.0,0
2004-08-31,BHD,0.0,0
2004-09-30,BHD,0.0,0
2004-10-31,BHD,0.0,0
2004-11-30,BHD,0.0,0
2004-12-31,BHD,0.0,0
2005-01-31,BHD,0.0,0
2005-02-28,BHD,0.0,0
2005-03-31,BHD,0.0,0
2005-04-30,BHD,0.0,0
2005-05-31,BHD,0.0,0
2005-06-30,BHD,0.0,0
2005-07-31,BHD,0.0,0
2005-08-31,BHD,0.0,0
2005-09-30,BHD,0.0,0
2005-10-31,BHD,0.0,0
2005-11-30,BHD,0.0,0
2005-12-31,BHD,0.0,0
2006-01-31,BHD,0.0,0
2006-02-28,BHD,0.0,0
2006-03-31,BHD,0.0,0
2006-04-30,BHD,0.0,0
2006-05-31,BHD,0.0,0
2006-06-30,BHD,0.0,0
2006-07-31,BHD,0.0,0
2006-08-31,BHD,0.0,0
2006-09-30,BHD,0.0,0
2006-10-31,BHD,0.0,0
2006-11-30,BHD,0.0,0
2006-12-31,BHD,0.0,0
2007-01-31,BHD,0.0,0
2007-02-28,BHD,0.0,0
2007-03-31,BHD,0.0,0
1999-10-31,BICH,0.0761,0
1999-11-30,BICH,0.078,0
1999-12-31,BICH,0.0778,0
2000-01-31,BICH,0.0787,0
2000-02-29,BICH,0.0825,0
2000-03-31,BICH,0.0847,0
2000-04-30,BICH,0.0839,0
2000-05-31,BICH,0.0844,0
2000-06-30,BICH,0.0871,0
2000-07-31,BICH,0.0886,0
2000-08-31,BICH,0.0924,0
2000-09-30,BICH,0.1207,0
2000-10-31,BICH,0.1001,0
2000-11-30,BICH,0.1017,0
2000-12-31,BICH,0.0956,0
2001-01-31,BICH,0.1002,0
2001-02-28,BICH,0.1001,0
2001-03-31,BICH,0.1013,0
2001-04-30,BICH,0.0987,0
2001-05-31,BICH,0.0995,0
2001-06-30,BICH,0.1027,0
2001-07-31,BICH,0.1012,0
2001-08-31,BICH,0.1018,0
2001-09-30,BICH,0.1075,0
2001-10-31,BICH,0.1084,0
2001-11-30,BICH,0.0,0
2001-12-31,BICH,0.0,0
2002-01-31,BICH,0.0,0
2002-02-28,BICH,0.0,0
2002-03-31,BICH,0.0,0
2002-04-30,BICH,0.0,0
2002-05-31,BICH,0.0,0
2002-06-30,BICH,0.0,0
2002-07-31,BICH,0.0,0
2002-08-31,BICH,0.0,0
2002-09-30,BICH,0.0,0
2002-10-31,BICH,0.0,0
2002-11-30,BICH,0.0,0
2002-12-31,BICH,0.0,0
2003-01-31,BICH,0.0,0
2003-02-28,BICH,0.0,0
2003-03-31,BICH,0.0,0
2003-04-30,BICH,0.0,0
2003-05-31,BICH,0.0,0
2003-06-30,BICH,0.0,0
2003-07-31,BICH,0.0,0
2003-08-31,BICH,0.0,0
2003-09-30,BICH,0.0,0
2003-10-31,BICH,0.0,0
2003-11-30,BICH,0.0,0
2003-12-31,BICH,0.0,0
2004-01-31,BICH,0.0,0
2004-02-29,BICH,0.0,0
2004-03-31,BICH,0.0,0
2004-04-30,BICH,0.0,0
2004-05-31,BICH,0.0,0
2004-06-30,BICH,0.0,0
2004-07-31,BICH,0.0,0
2004-08-31,BICH,0.0,0
2004-09-30,BICH,0.0,0
2004-10-31,BICH,0.0,0
2004-11-30,BICH,0.0,0
2004-12-31,BICH,0.0,0
2005-01-31,BICH,0.0,0
2005-02-28,BICH,0.0,0
2005-03-31,BICH,0.0,0
2005-04-30,BICH,0.0,0
2005-05-31,BICH,0.0,0
2005-06-30,BICH,0.0,0
2005-07-31,BICH,0.0,0
2005-08-31,BICH,0.0,0
2005-09-30,BICH,0.0,0
2005-10-31,BICH,0.0,0
2005-11-30,BICH,0.0,0
2005-12-31,BICH,0.0,0
2006-01-31,BICH,0.0,0
2006-02-28,BICH,0.0,0
2006-03-31,BICH,0.0,0
2006-04-30,BICH,0.0,0
2006-05-31,BICH,0.0,0
