date,metric,label,period_type,unit,bank,value
1999-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,16.9803
2000-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,4.4925
2000-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,1.0021
2000-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,0.8246655360844167
2000-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,1.6848
2001-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,3.339
2001-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,4.1869
2001-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,3.937578753513617
2001-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BHD,-4.4569
1999-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.8117
2000-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.7723
2000-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.9744
2000-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.870814479638009
2000-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.8402
2001-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.9345
2001-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.9564
2001-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.8813056379821959
2001-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.7787
2002-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.1056
2002-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.3075
2002-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.2628138974888201
2002-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.1174
2003-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.6282
2003-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,11.5888
2003-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.60070206230803
2003-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.6512
2004-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.0102
2004-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.2356513817187975
2004-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.2356513817187975
2004-12-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,1.9555
2005-03-31,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,2.2511
2005-06-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.9284
2005-09-30,avg_deposit_rate_c,Average Deposit Rate (cumulative),cumul,ratio,BICH,0.7625
